,idp,long,lat,x,y,misu
0,CiawqQmZZW16R0L,15.07457,37.525619,290,269,1
1,FLuwtqQhrkAzRrv,15.074486,37.525619,420,265,1
2,5Gd8tj6Ccje27P6,15.074482,37.525619,426,381,1
3,3Ymwlgjomc1gV3z,15.074566,37.525619,296,379,1
4,ariNh6EUb0Ybygc,15.074572,37.525619,287,512,1
5,cjjFshVFOX6HpXM,15.074486,37.525619,420,517,1
6,pjyJHu6Axv58MdR,15.074486,37.525619,420,630,1
7,T6dvgRuJJ2uoTNj,15.074569,37.525619,291,624,1
8,A3iXuP95xsC3Bwe,15.074569,37.525619,291,739,1
9,CamVwJbkp4BynNP,15.074483,37.525619,425,742,1
10,Ul4YEeZPoatCTkN,15.074484,37.525619,423,855,1
11,zZEaUAufcYu2MCK,15.074568,37.525619,293,862,1
12,LcaqTTKtiaihUhP,15.074566,37.525619,296,969,1
13,DF8Gwm82iuzTWFh,15.074487,37.525619,419,947,1
14,EFIkOaBHviYIxwN,15.074485,37.52562,422,1068,1
15,jEBaTmJQyNxrGbP,15.074569,37.52562,291,1071,1
16,4HjeYkLhUaAYlVK,15.074569,37.52562,291,1199,0
17,PPZM5HOqcb3KJsj,15.074482,37.52562,426,1193,1
18,tRF1EvoapAOemOx,15.074566,37.52562,296,1326,0
19,3Ao18cn6K7KZORl,15.074564,37.52562,299,1433,0
20,82RugVMX90xowqN,15.074566,37.52562,296,1578,0
21,I79c6jRz4B3Pb82,15.074467,37.52562,450,1363,1
